,5S_rRNA,ACAA2P1,AKIRIN1P2,APLN,ARHGEF6,ARMCX2,ARSD-AS1,ARX,BEX1,BRAFP1,CFAP47,CHMP5P1,COBLP1,COPS8P1,CRLF2,CXorf51A,CXorf51B,CYBB,CYLC1,DANT1,DANT2,DHRSX,DMRTC1,DUSP9,ECMXP,EEF1B2P3,EFNB1,ENOX2,EOLA2,FAM223A,FAM223B,FAM236C,FAM9B,FGF13,FGF13-AS1,FLICR,FMN2P1,FTH1P14,FTH1P28,FUNDC1,FUNDC2,GAPDHP1,GEMIN7P1,GOT2P6,HDAC8,HDX,HMGN1P37,HMGN2P48,HMGN5,HS6ST2,HSFX4,IGBP1,IGBP1-AS1,IGBP1-AS2,IKBKG,IL3RA,ITPK1P1,KAT7P1,KCTD9P2,KRABD4,KRT18P44,KRT18P48,KRT18P49,KRT8P8,LDHBP2,LIMK2P1,LINC00269,LINC00629,LINC01496,LINC01546,LINC01560,LINC03113,MAGEA7P,MAGEE1,MAGEE2,MAP2K4P1,MATR3P1,METTL15P3,MIR1277,MIR1298,MIR188,MIR221,MIR222,MIR222HG,MIR320D2,MIR3672,MIR424,MIR4330,MIR450A1,MIR450A2,MIR450B,MIR503,MIR503HG,MIR509-1,MIR509-2,MIR509-3,MIR514A2,MIR514A3,MIR532,MIR542,MIR548AJ2,MIR6134,MIR651,MIR6857,MIR98,MIRLET7F2,MMGT1,MORF4L1P5,MRFAP1P1,MRPS17P9,NAA10,NBDY,NDUFA1,NDUFB11,NFYCP1,NKRF,NPM1P9,NR0B1,NUDT11,NXF5,NYX,OOEPP1,P2RY4,P2RY8,PABPC1L2B,PAGE3,PAK3,PDCL2P1,PDHA1,PGAM1P7,PHB1P10,PHF10P1,PHF6,PKMP2,PLS3,PPIAP91,PPP4R3C,PRRG1,PSMA6P2,RBBP8P1,RBMX2,RBMX2P2,RENBP,RHOXF1P1,RN7SKP20,RN7SL732P,RNF113A,RNU1-67P,RNU5F-7P,RNU6-29P,RPL30P15,RPS27AP20,RPS6P26,RPSAP61,SAGE3P,SETP15,SETP4,SH2D1A,SHOX,SMARCA1,SMIM10L2B-AS1,SMSP1,SOX3,SPIN2P1,SPIN3,SSX11P,SSX14P,SSX15P,SSX4,SUV39H1,TBCAP1,TCP11X2,TCP11X3P,TENT5D,TEX13A,TEX13D,TJAP1P1,TMEM31,TMLHEP1,TSIX,TSR2,TUBAP6,TUBB4BP3,TUSC2P2,TWF1P2,UBE2DNL,UBTFL11,UXT-AS1,VCF2,VENTXP1,VEZTP1,VN1R110P,WDR44,WNK3,XACT,XIST,YIPF6,ZIC3,ZIK1P1,ZNF41
ASD,-0.03262350640815519,-0.03789677105872974,-0.012714185744460937,-0.022001984173549573,-0.07677152954480122,-0.08213306793776984,-0.07756063072024798,-0.07748784782106229,-0.0340836380263135,-0.006903326561951813,-0.012631222703016644,0.07735970196929323,-0.04451833860490241,0.06706061067732673,-0.013490763325287689,0.032755501904614896,0.032755501904614896,-0.04009097714173219,-0.08456525689654755,-0.012091135347033946,-0.035571874285659964,0.07161790988988606,-0.0973971684847565,-0.05163945856143163,-0.09082996666777593,-0.05194175048839231,-0.07334865415516496,-0.027632106599068416,-0.05194175048839231,-0.0694188821933089,-0.04475363319437717,-0.040986857054075974,-0.0818561411556806,-0.10204238860146411,-0.0694188821933089,-0.0694188821933089,-0.022512480563507936,-0.05933199212453882,-0.05194175048839231,-0.05547323203921882,-0.024951366547930214,-0.04458247657141931,-0.06652010941855396,0.012366478261883397,-0.09495213455778698,-0.014750984679065661,-0.07346932874308898,0.04517353806750948,-0.03827280325381044,-0.04469063822934882,-0.05194175048839231,-0.03262350640815519,-0.021527578254696627,-0.03262350640815519,-0.014370797295528814,0.07305602329461522,-0.015741148270166115,0.009882888022400522,-0.014370797295528814,0.04235742541835082,-0.02313924058314298,-0.06917794155058886,-0.014129485941719772,-0.07166495005372522,0.05023263360953148,-0.003295601356578489,-0.04539412799620959,-0.02699338398263634,-0.10204238860146411,-0.03262350640815519,-0.03262350640815519,-0.02797828629144762,-0.0149022486356024,-0.08527652424370462,-0.03827280325381044,-0.06696335227519339,-0.028769363008661834,0.06634317840707317,-0.023725718171053727,0.009806067609004612,-0.02005796514226832,-0.027632106599068416,-0.027632106599068416,-0.027632106599068416,-0.002415160957393089,-0.011938781246251836,-0.02699338398263634,-0.02699338398263634,-0.02699338398263634,-0.02699338398263634,-0.02699338398263634,-0.02699338398263634,-0.02699338398263634,0.0017871111993758796,0.0017871111993758796,0.0017871111993758796,0.07376569991802857,0.046572247646610866,-0.02005796514226832,-0.02699338398263634,-0.026314847587422217,-0.020732548079252885,0.007375078452796625,-0.07897776208380793,-0.023777963199575057,-0.023777963199575057,-0.09181486897658725,0.05414258718020726,-0.06917794155058886,-0.019120885750806546,-0.09176704605923776,-0.027041206899985862,-0.07379508243672053,-0.08373023112982873,0.011777424945281416,-0.0356096464421022,-0.04271039647692527,-0.061592991077767924,-0.10204238860146411,0.02890135850512156,-0.06652010941855396,-0.04458247657141931,-0.018195663691405732,-0.028877123970736145,-0.028877123970736145,0.06955087768976854,-0.018045147477993552,0.02980739375899653,-0.05757487295608541,-0.04185486041962229,-0.016394053355642396,0.030227298632128818,-0.08456525689654755,0.05762416776966398,-0.0124246450443581,-0.03262350640815519,-0.09146868928420795,-0.042225429921891114,0.08038751417086477,-0.04125509490449161,-0.03881821879972342,-0.03533824420916966,-0.10204238860146411,-0.058463988758992495,-0.019099001371319323,-0.04458247657141931,-0.07379508243672053,-0.039625165335866366,-0.01854184338378494,-0.032905371249642976,-0.019893648444689164,-0.048945114463299404,-0.00813189571841282,-0.025716591490331526,0.012366478261883397,-0.01854184338378494,-0.024538868561396716,-0.06790991316092523,-0.04807779509850201,-0.054434202169676114,-0.014081663024370254,0.029351431316608362,-0.023507213947233437,0.02803040426282591,-0.02318706350049251,-0.012714185744460937,-0.012714185744460937,-0.08456525689654755,0.039499083556708725,-0.08384672491005837,0.030196991929870177,-0.04841513296793091,-0.04305634299855332,0.07392707793318028,-0.09146868928420795,-0.056018954832022926,-0.05010063811307174,0.005808175991063149,-0.06671464038344035,0.04235742541835082,-0.02831730354440367,-0.020132064192570475,-0.09646008909329477,-0.013502620657348648,0.030227298632128818,-0.017556941074973628,-0.022166300871128725,0.045210745785239294,-0.0021450821047187835,-0.02715770068021549,0.04235742541835082,-0.02204980709089909,-0.013297911985901372,-0.05002693122754245,-0.016584001362959386,-0.03262350640815519,-0.10204238860146411,-0.04070495882999743,-0.017721257772552804,-0.03262350640815519
ADHD,-0.038416302470269545,0.057942448416640216,-0.05178091248010358,-0.024294671132896628,0.07381918975592858,0.05596998127764008,0.045560332111655534,0.059399152923045026,-0.020865752896115145,-0.05486764647447549,-0.030917948168205093,-0.053828012438739956,-0.006944768786619734,-0.054930126801623014,-0.01871996596007839,0.03838041102353874,0.03838041102353874,0.08881322422696893,0.04318899251071779,-0.014483166302269238,-0.006018498466745262,-0.0497423264866404,0.07276376293287909,-0.009956309853167358,0.0810366786156289,0.08160529498098727,0.07274549237880674,-0.03067082355415795,0.08160529498098727,0.1077508937577436,0.06805502722505212,0.06414281248141886,0.03859955999207139,0.0693345912874741,0.1077508937577436,0.1077508937577436,-0.030301397383580893,0.0010018451023210552,0.08160529498098727,0.010517713712948677,0.03984861815491554,-0.006288774409706787,0.014552112858256278,-0.054054293397435095,0.05816019413458101,0.0508740962626436,0.05425087837326275,-0.02974459933192619,-0.027180428554680197,0.07700632613586728,0.08160529498098727,-0.038416302470269545,-0.027354416607724554,-0.038416302470269545,0.07236188022276295,-0.06053580881067457,-0.014491057507949962,0.04468456468520017,0.07236188022276295,-0.0853521800898562,-0.024494834650446416,0.04485055739780926,-0.01735063946522812,0.032407368436454746,0.012234812246782427,-0.05735397200104423,0.009673594338307117,-0.03204015004900821,0.0693345912874741,-0.038416302470269545,-0.038416302470269545,-0.03498713082486455,-0.017556983746738992,0.09261963478418385,-0.027180428554680197,0.07931392421420844,-0.03087098707170773,-0.061034043816687554,-0.018193587413001856,-0.06030900249802196,-0.026992881642828214,-0.03067082355415795,-0.03067082355415795,-0.03067082355415795,-0.039332366172022404,-0.01722998356057581,-0.03204015004900821,-0.03204015004900821,-0.03204015004900821,-0.03204015004900821,-0.03204015004900821,-0.03204015004900821,-0.03204015004900821,-0.05049914331927215,-0.05049914331927215,-0.05049914331927215,-0.06698035976833765,-0.04454575465371945,-0.026992881642828214,-0.03204015004900821,-0.027562471330955074,-0.022236536424061547,-0.06179977231354668,0.03462385467325754,-0.023125508155596136,-0.023125508155596136,0.07808969783977254,-0.03448013982623958,0.04485055739780926,-0.0250961183813397,0.0791399153541404,-0.03309036756337605,0.027602049874537602,0.08777436600178655,-0.06754176976751979,0.04332494828702279,0.06833274618515299,0.01564275525018008,0.0693345912874741,0.030835095624976935,0.014552112858256278,-0.006288774409706787,-0.017799573248702648,0.046894558366770735,0.046894558366770735,-0.10778678520447439,0.028636879652461502,-0.017191278287660473,0.0014323156846459987,-0.02514375367443525,-0.03935391380110646,0.021119149605465418,0.04318899251071779,-0.0678013771070783,-0.031339762641863673,-0.038416302470269545,0.08240600511047913,0.0853162886431254,-0.03365032152032723,0.003020090621160173,0.05666640168723874,0.054819819778778756,0.0693345912874741,0.09028841125817522,0.04793481595077978,-0.006288774409706787,0.027602049874537602,-0.0017383076816966925,-0.02211588051940924,0.0656879273327518,-0.02530246266285056,-0.013969356521542176,-0.054177159757685736,0.06856883196929166,-0.054054293397435095,-0.02211588051940924,-0.02873163430825555,0.059505076413669165,0.07723009084726122,0.008178859419309908,-0.016300421950860306,-0.017119923605546677,0.04757224284294447,-0.06666163517312874,-0.025545052164814227,-0.05178091248010358,-0.05178091248010358,0.04318899251071779,-0.011561199620929271,0.08713416453617669,0.01515292376450541,0.0027510224992287487,0.05164970851394306,-0.02763794132126841,0.08240600511047913,0.07568484245987712,-0.012270703693513236,0.039542533618804665,0.028348172253932487,-0.0853521800898562,-0.015502476639660675,-0.02518782051606714,0.07466052619436755,-0.013320184088929838,0.021119149605465418,-0.01916889974355292,-0.025985090112874285,-0.028161264498560514,-0.05583136063805035,-0.03373056902898585,-0.0853521800898562,-0.025344888647264453,-0.031810556824882395,0.06264807756242173,-0.02065915520598079,-0.038416302470269545,0.0693345912874741,0.06180428322793772,-0.020859318723530553,-0.038416302470269545
IDDD,0.07103980887842468,-0.020045677357909804,0.06449509822456445,0.046296655306446007,0.002952339788872902,0.02616308666013023,0.032000298608592985,0.018088694898017683,0.054949390922428766,0.06177097303642716,0.04354917087122176,-0.023531689530553866,0.05146310739152238,-0.012130483875704461,0.0322107292853663,-0.07113591292815394,-0.07113591292815394,-0.04872224708523613,0.04137626438583003,0.02657430164930333,0.04159037275240541,-0.021875583403246444,0.024633405551877915,0.061595768414598906,0.00979328805214759,-0.02966354449259467,0.0006031617763586036,0.058302930153226136,-0.02966354449259467,-0.038332011564434214,-0.023301394030674206,-0.023155955427342743,0.04325658116360932,0.03270779731399047,-0.038332011564434214,-0.038332011564434214,0.05281387794708886,0.05833014702221817,-0.02966354449259467,0.044955518326270455,-0.014897251606985172,0.050871250981125986,0.05196799656029773,0.04168781513555087,0.03679194042320624,-0.03612311158357823,0.01921845036982665,-0.015428938735583795,0.06545323180849046,-0.03231568790651809,-0.02966354449259467,0.07103980887842468,0.04888199486242128,0.07103980887842468,-0.05799108292723361,-0.012520214483940972,0.03023220577811595,-0.054567452707600994,-0.05799108292723361,0.04299475467150473,0.047634075233589354,0.024327384152779602,0.03148012540694791,0.03925758161727021,-0.062467445856314405,0.06064957335762277,0.03572053365790267,0.05903353403164457,0.03270779731399047,0.07103980887842468,0.07103980887842468,0.06296541711631212,0.0324592323823412,-0.007343110540478775,0.06545323180849046,-0.012350571939014543,0.05964035008036948,-0.005309134590386448,0.04191930558405553,0.0505029348890175,0.047050846785096634,0.058302930153226136,0.058302930153226136,0.058302930153226136,0.0417475271294156,0.029168764806827605,0.05903353403164457,0.05903353403164457,0.05903353403164457,0.05903353403164457,0.05903353403164457,0.05903353403164457,0.05903353403164457,0.0487120321198962,0.0487120321198962,0.0487120321198962,-0.006785340149691741,-0.0020264929928919774,0.047050846785096634,0.05903353403164457,0.0538773189183772,0.04296908450331446,0.0544246938607494,0.04435390741055067,0.046903471355170936,0.046903471355170936,0.013725171136815179,-0.01966244735396777,0.024327384152779602,0.04421700413214642,0.012627130705097784,0.06013157446336194,0.0461930325621832,-0.004044134871957224,0.05576434482223834,-0.007715301844920564,-0.02562234970822769,0.04595023582758815,0.03270779731399047,-0.059736454130098815,0.05196799656029773,0.050871250981125986,0.0359952369401082,-0.018017434396034444,-0.018017434396034444,0.03823590751470494,-0.010591732174467693,-0.012616115471336157,0.05614255727143953,0.06699861409405773,0.05574796715674885,-0.051346448237594204,0.04137626438583003,0.010177209337413501,0.04376440768622144,0.07103980887842468,0.0090626841737292,-0.04309085872123398,-0.04673719265053841,0.038235004283331375,-0.01784818288751482,-0.019481575569608955,0.03270779731399047,-0.03182442249918228,-0.028835814579460203,0.050871250981125986,0.0461930325621832,0.04136347301756349,0.04065772390319418,-0.03278255608310832,0.04519611110753972,0.06291447098484193,0.06230905547609857,-0.04285224047895987,0.04168781513555087,0.04065772390319418,0.053270502869652264,0.00840483674725626,-0.02915229574875895,0.04625534275036675,0.03038208497523053,-0.012231507711062215,-0.024065028895710546,0.0386312309103022,0.04873211566530672,0.06449509822456445,0.06449509822456445,0.04137626438583003,-0.027937883935779617,-0.0032874396261177315,-0.04534991569437594,0.045664110468701974,-0.008593365515389428,-0.04628913661191246,0.0090626841737292,-0.01966588762785397,0.06237134180658511,-0.04535070960986773,0.038366468129508065,0.04299475467150473,0.043819780184064336,0.0453198847086371,0.021799562898927725,0.026822804746278253,-0.051346448237594204,0.0367258408185266,0.04815139098400291,-0.017049481286679224,0.0579764427427683,0.06088826970920144,0.04299475467150473,0.04739469573816344,0.045108468810783627,-0.012621146334878647,0.03724315656894018,0.07103980887842468,0.03270779731399047,-0.021099324397939774,0.03858057649608349,0.07103980887842468
